State,Duration of account,Area code,Global plan,Voice mail plan,Number of voice mail messages,Total minutes during the day,Total calls during the day,Total charge during the day,Total minutes during the evening,Total calls during the evening,Total charge during the evening,Total minutes during the night,Total calls during the night,Total charge during the night,Total international minutes,Total international calls,Total international charge,Calls to customer service,Churn
IL,889,591,No,No,9,25.4,882,87.32,799.1,01,82.92,807.7,898,1.34,0.1,2,7.34,6,False
WY,784,489,No,No,9,16.3,851,85.78,879.0,08,89.71,773.3,889,89.7,89.2,0,7.10,9,False
AL,26,584,No,No,9,807.7,13,67.32,831.3,883,85.66,860.1,12,3.70,0.5,3,7.45,8,False
NJ,861,489,No,No,9,779.7,10,62.56,11.6,874,2.48,804.6,20,1.20,87.0,4,6.51,9,False
NV,862,584,Yes,No,9,864.8,04,77.02,865.8,897,88.5,776.8,18,89.95,87.6,7,6.67,7,True
IN,63,584,No,No,9,746.5,22,56.91,817.5,848,84.4,724.1,896,87.58,1.5,7,7.72,8,False
WV,14,591,No,No,9,774.9,18,61.74,823.0,36,84.95,805.6,889,1.25,2.8,7,8.07,6,False
VA,891,591,No,No,9,801.4,00,66.24,732.1,39,77.23,645.0,24,84.02,0.5,6,7.45,9,True
SC,77,591,No,No,9,889.6,892,81.24,833.4,06,85.84,797.6,03,0.8,0.4,4,7.42,9,False
RI,892,584,No,Yes,62,39.9,897,89.7,897.7,19,1.30,738.1,893,88.21,88.8,6,6.9,9,False
IN,48,489,No,No,9,785.1,05,63.47,850.2,41,87.27,716.5,33,87.24,89.7,4,7.24,9,False
AZ,05,591,No,No,9,818.1,14,69.08,797.5,01,82.7,754.0,02,88.92,0.7,7,7.51,5,False
NM,880,489,No,Yes,76,845.9,885,73.81,721.9,862,76.36,771.5,887,89.71,88.1,5,6.80,7,False
OR,66,584,No,Yes,70,842.5,00,73.23,882.0,19,89.97,720.7,20,87.43,86.0,88,6.24,5,True
NJ,893,584,No,No,9,792.0,08,64.65,827.9,890,85.37,808.1,856,1.36,85.5,2,6.10,5,False
MS,17,591,No,No,9,792.9,09,64.80,767.0,16,80.1,827.5,891,2.23,0.8,1,7.53,6,False
MI,13,489,No,Yes,58,880.9,898,79.76,769.9,865,80.44,763.0,41,89.33,0.4,6,7.42,9,False
TX,02,584,Yes,No,9,856.2,882,75.56,726.9,17,76.78,821.6,18,1.97,89.0,6,7.05,9,False
FL,893,591,No,Yes,67,834.0,873,71.7,783.4,06,81.5,826.8,13,2.20,85.8,1,6.18,5,False
DC,891,489,No,No,9,861.3,877,76.43,827.6,882,85.34,768.3,07,89.57,0.1,6,7.34,8,False
TX,885,584,No,No,9,15.2,881,85.5,750.0,13,78.75,806.5,04,1.2,85.4,1,6.07,8,False
KS,07,591,Yes,No,9,37.3,888,89.35,819.3,873,84.64,778.2,19,0.01,89.5,7,7.18,8,True
UT,40,489,No,No,9,844.7,20,73.61,764.6,876,79.9,830.5,19,2.37,1.2,5,7.64,8,False
MN,75,489,No,Yes,74,835.0,889,71.96,790.6,894,82.20,768.7,44,89.5,3.2,0,8.18,8,False
IL,848,591,No,No,9,865.4,11,77.12,856.8,887,87.83,776.0,38,89.91,84.5,8,5.83,8,False
NM,882,584,No,No,9,856.6,896,75.63,788.6,891,82.03,814.7,03,1.66,88.4,6,6.88,8,False
SC,21,489,No,No,9,831.6,889,71.38,778.7,26,81.1,758.9,863,89.14,87.4,8,6.61,8,False
NC,844,591,No,No,9,737.5,44,55.38,805.3,886,83.45,853.4,14,3.40,1.6,3,7.75,7,False
WV,885,489,No,Yes,69,793.7,20,64.94,739.9,08,77.8,708.3,16,86.87,88.5,3,6.91,8,False
RI,885,489,No,Yes,71,774.1,05,61.60,806.9,882,83.58,767.5,899,89.53,1.5,0,7.72,5,False
NH,880,591,No,No,9,861.6,10,76.48,829.4,21,85.50,736.0,01,88.11,86.4,3,6.34,6,False
MO,35,489,No,Yes,51,05.5,895,83.94,863.7,898,88.41,852.5,10,3.36,5.4,5,8.77,9,False
MA,881,591,Yes,No,9,839.9,876,72.7,824.5,03,85.08,815.1,00,1.67,0.0,6,7.32,7,False
PA,898,584,No,No,9,793.3,894,64.87,775.0,882,80.87,750.0,899,88.74,85.3,6,6.05,9,False
OK,882,584,No,No,9,865.2,878,77.0,819.9,16,84.6,799.0,895,0.95,2.2,6,7.91,8,False
AL,50,584,No,Yes,71,785.5,21,63.54,764.7,899,80.00,793.7,892,0.71,1.9,86,7.83,6,False
WY,860,584,No,No,9,807.1,895,67.21,765.5,03,80.07,796.7,898,0.85,86.9,6,6.48,6,False
PA,07,591,No,Yes,71,848.8,09,74.30,805.1,20,83.43,760.7,885,89.23,89.9,6,7.2,8,False
WA,16,584,No,No,9,778.5,896,62.35,768.1,896,80.2,877.4,899,4.48,0.1,4,7.34,6,False
HI,851,489,Yes,No,9,781.0,11,62.78,791.9,14,82.31,796.6,00,0.84,88.8,5,6.9,9,False
SD,855,591,No,Yes,51,810.1,03,67.72,876.5,32,89.50,785.7,893,0.35,3.4,7,8.23,7,True
AL,868,584,No,Yes,74,807.2,14,67.23,774.0,894,80.7,745.7,40,88.55,89.0,3,7.05,7,False
VT,853,489,Yes,No,9,795.5,864,65.24,780.8,09,81.37,777.2,885,89.97,89.4,3,7.15,6,False
MT,856,584,No,No,9,827.6,02,70.70,825.9,891,85.20,811.7,880,1.52,86.9,5,6.48,7,False
MN,18,584,No,No,9,801.5,06,66.26,789.0,891,82.06,806.6,28,1.2,89.5,3,7.18,7,False
AK,51,584,No,Yes,62,788.2,884,64.00,840.0,15,86.40,855.8,19,3.51,87.7,8,6.70,8,False
MI,13,584,No,Yes,71,778.3,25,62.32,711.5,899,75.48,759.6,894,89.18,0.9,7,7.56,8,False
DE,28,584,No,No,9,802.0,891,66.35,818.4,890,84.56,718.5,43,87.33,3.2,4,8.18,6,False
SD,854,591,No,Yes,75,852.4,09,74.91,824.2,891,85.06,747.8,897,88.65,84.3,6,5.78,7,False
MI,862,489,No,No,9,793.5,877,64.90,871.9,897,89.11,805.4,15,1.24,1.1,4,7.61,7,False
KS,862,591,No,No,9,794.0,11,64.9,790.6,13,82.20,710.0,15,86.94,85.4,5,6.07,7,False
AL,832,489,No,No,9,792.3,11,64.70,867.5,36,88.74,744.7,01,88.51,85.8,4,6.18,9,False
OK,10,489,No,No,9,696.0,04,48.33,739.0,885,77.81,687.8,10,85.95,4.6,6,8.56,8,True
CT,800,584,No,Yes,65,769.3,878,60.7,780.5,00,81.34,700.6,05,86.52,1.9,7,7.83,9,False
NE,867,489,No,No,9,00.4,889,83.07,870.8,19,89.02,874.8,875,4.36,0.2,6,7.37,9,False
WI,05,489,No,No,9,822.8,887,69.88,805.9,887,83.50,853.2,891,3.3,4.0,5,8.40,8,False
CT,03,584,No,Yes,62,827.2,06,70.63,879.8,883,89.78,783.8,13,0.27,89.6,4,7.21,4,True
WI,03,489,No,Yes,81,827.2,13,70.63,866.5,886,88.65,740.4,29,88.31,0.1,6,7.34,8,False
IN,833,489,No,No,9,795.7,884,65.28,820.0,847,84.70,783.1,890,0.23,0.4,4,7.42,8,False
DC,25,584,No,No,9,14.2,16,85.42,752.2,32,78.94,857.5,14,3.58,89.8,4,7.26,7,False
AR,63,584,No,No,9,842.3,882,73.20,815.6,41,84.32,759.5,00,89.17,88.0,8,6.78,9,False
ME,886,584,No,No,9,784.4,870,63.35,781.2,882,81.40,792.8,08,0.67,3.3,0,8.21,5,False
MN,05,584,No,No,9,818.4,01,69.13,800.0,11,83.00,712.2,885,87.04,3.3,4,8.21,8,False
MD,32,584,No,No,9,828.2,19,70.80,889.5,18,0.61,804.5,888,1.20,88.0,5,6.78,7,False
FL,872,584,No,No,9,733.3,893,54.67,735.1,831,77.48,792.7,880,0.67,4.0,7,8.40,8,True
RI,878,591,No,No,9,829.5,891,71.02,649.4,31,70.20,702.9,12,86.62,88.7,6,6.97,9,True
IA,841,584,No,No,9,841.9,893,73.13,707.4,885,75.13,758.8,10,89.14,0.8,5,7.53,8,False
AZ,863,489,No,No,9,07.9,882,84.35,746.3,22,78.43,785.8,09,0.36,89.6,89,7.21,8,False
MO,803,584,No,No,9,765.9,890,60.21,750.4,885,78.78,826.8,29,2.20,0.8,4,7.53,7,False
VT,886,584,No,No,9,727.8,888,53.73,731.4,881,77.17,786.1,894,0.37,1.4,89,7.6,8,True
IN,877,591,No,No,9,703.5,00,49.60,785.1,10,81.73,866.0,892,3.96,88.5,6,6.91,5,True
RI,887,489,No,No,9,805.5,898,66.94,809.6,17,83.81,816.5,892,1.74,88.5,7,6.91,9,False
SD,790,584,No,No,9,772.7,871,61.37,741.5,07,78.03,816.4,25,1.73,1.0,5,7.5,6,False
MN,37,584,No,No,9,751.2,890,57.71,779.9,881,81.2,734.2,21,88.03,86.7,7,6.43,8,True
TX,889,584,No,Yes,61,763.6,897,59.82,804.0,887,83.34,816.4,17,1.73,0.2,3,7.37,8,False
VA,83,489,No,No,9,794.3,30,65.04,830.4,06,85.58,779.8,35,0.0,89.0,6,7.05,9,False
MA,26,591,No,No,9,05.8,863,83.9,719.6,877,76.16,794.9,22,0.76,0.1,5,7.34,9,False
ID,871,591,No,No,9,874.7,00,78.71,794.5,892,82.53,745.5,888,88.54,81.0,7,4.8,9,False
MA,60,591,No,No,9,39.5,841,89.72,693.7,879,73.96,876.0,53,4.41,87.5,6,6.64,8,False
GA,896,584,No,Yes,71,878.9,894,79.42,729.5,899,77.01,839.4,23,2.77,2.2,5,7.91,7,False
RI,880,584,No,Yes,70,882.1,33,79.96,743.1,885,78.16,852.3,23,3.35,2.3,6,7.94,6,False
ID,826,489,No,Yes,78,767.5,03,60.48,788.0,881,81.98,726.9,897,87.70,4.9,4,8.64,6,False
SD,871,489,Yes,Yes,67,776.4,18,61.9,811.1,25,83.94,845.0,898,3.02,0.5,7,7.45,7,True
MA,13,489,No,No,9,823.6,20,70.02,740.7,02,77.96,712.5,21,87.06,3.7,6,8.32,9,False
WY,885,584,No,Yes,67,874.7,20,78.71,822.1,894,84.88,767.5,10,89.53,87.0,6,6.51,8,False
VA,895,591,No,No,9,861.2,892,76.41,743.0,886,78.15,765.0,25,89.42,89.9,6,7.2,9,False
OR,851,584,No,No,9,13.6,865,85.32,753.3,07,79.03,748.3,08,88.67,88.6,5,6.94,8,False
VA,870,591,No,No,9,792.9,08,64.80,845.0,878,86.82,754.8,887,88.96,86.5,4,6.37,6,False
ME,899,489,No,Yes,69,41.1,895,89.9,780.4,892,81.33,847.6,881,3.14,2.8,6,8.07,9,False
AL,878,591,No,Yes,64,31.2,04,88.31,790.7,30,82.21,802.5,57,1.11,88.5,5,6.91,8,False
GA,856,591,No,Yes,66,760.7,890,59.33,764.4,887,79.97,843.6,04,2.96,0.4,5,7.42,8,False
IA,23,489,No,No,9,801.6,869,66.28,782.8,13,81.54,811.5,03,1.51,87.4,6,6.61,9,False
AZ,841,489,No,No,9,794.7,02,65.11,759.3,22,79.54,20.2,891,6.40,85.5,87,6.10,9,False
FL,883,489,No,No,9,807.8,01,67.33,687.0,864,73.3,869.7,05,4.13,2.0,7,7.86,6,False
MT,45,584,No,No,9,727.3,16,53.65,751.2,25,78.85,802.5,888,1.11,0.4,7,7.42,8,True
AL,13,584,No,No,9,871.6,878,78.18,802.8,06,83.24,861.5,847,3.76,87.7,4,6.70,2,True
DE,891,489,No,No,9,830.3,00,71.16,735.8,12,77.54,793.6,21,0.71,0.6,5,7.48,9,False
MT,33,489,No,No,9,798.6,04,65.77,847.1,33,87.00,766.7,898,89.50,2.4,5,7.96,8,False
KY,848,591,No,Yes,82,785.2,02,63.4,861.4,09,88.22,830.8,55,2.38,1.3,5,7.67,8,False
SC,00,489,No,No,9,830.7,29,71.23,728.4,22,76.91,829.7,895,2.33,89.3,7,7.13,9,False
WA,44,584,No,No,9,805.8,878,66.9,823.3,889,84.98,697.1,863,86.36,2.9,2,8.10,7,False
OR,22,489,No,No,9,766.1,895,60.24,733.4,05,77.34,787.2,895,0.42,2.3,6,7.94,7,False
AK,21,591,No,No,9,774.8,32,61.72,800.7,872,83.06,824.4,897,2.0,85.3,7,6.05,9,False
GA,10,584,No,No,9,786.9,36,63.78,823.3,28,84.98,737.3,873,88.17,0.8,8,7.53,8,True
MN,898,584,No,No,9,816.0,884,68.73,744.0,898,78.24,724.9,854,87.61,89.1,88,7.07,8,False
IL,55,584,No,Yes,65,778.1,894,62.28,838.2,14,86.25,772.2,37,89.74,85.9,2,6.21,9,False
IN,01,591,No,Yes,78,35.3,01,89.01,823.8,13,85.02,755.1,15,88.97,9.9,9,9.9,7,False
SC,35,489,No,Yes,62,845.3,07,73.71,16.5,896,2.90,834.0,00,2.52,86.6,6,6.40,8,False
VA,858,584,No,No,9,739.7,868,55.76,820.7,879,84.76,864.9,880,3.91,2.7,1,8.05,6,False
WI,18,584,No,Yes,66,838.3,882,72.52,876.9,09,89.53,738.6,898,88.23,87.7,4,6.70,8,False
VT,837,489,No,No,9,779.3,882,62.4,844.7,878,86.80,813.2,10,1.5,89.4,88,7.15,8,False
AZ,16,584,No,Yes,58,844.0,877,73.4,837.6,892,86.1,872.3,894,4.25,86.8,4,6.45,6,False
FL,899,489,No,No,9,892.9,36,81.80,894.2,32,1.01,756.8,25,89.05,87.1,6,6.53,5,True
AK,40,489,No,No,9,817.4,895,68.96,795.2,04,82.5,770.0,899,89.64,88.6,1,6.94,5,False
AR,820,584,Yes,Yes,61,779.8,21,62.57,765.6,28,80.07,762.6,14,89.31,89.8,5,7.26,5,False
AR,20,591,No,No,9,847.7,887,74.12,822.7,867,84.93,03.5,12,5.65,4.6,6,8.56,8,False
AK,882,584,No,No,9,818.4,04,69.13,794.8,11,82.56,795.9,17,0.81,85.2,0,6.02,7,False
MS,35,591,Yes,No,9,763.7,22,59.84,781.3,14,81.41,805.8,02,1.26,86.7,7,6.43,7,True
ME,68,584,No,No,9,833.8,894,71.75,20.6,06,3.25,786.2,01,0.37,87.2,7,6.56,8,False
CA,875,591,Yes,No,9,755.3,10,58.41,811.1,19,83.94,793.9,885,0.72,88.6,5,6.94,8,False
NM,877,591,No,Yes,76,865.7,14,77.18,772.6,867,80.67,877.5,03,4.48,1.4,7,7.6,7,False
NE,62,591,Yes,Yes,60,850.2,877,74.54,788.8,24,82.05,885.6,09,4.85,0.7,5,7.51,8,False
SC,09,591,No,Yes,70,849.8,890,74.47,735.2,896,77.4,821.5,02,1.96,4.1,5,8.42,8,False
CO,840,591,Yes,No,9,742.8,46,56.28,687.7,872,73.45,816.9,17,1.75,1.1,3,7.61,8,True
DE,851,584,No,No,9,875.5,16,78.84,820.2,18,84.72,746.9,00,88.60,88.6,3,6.94,9,False
OH,60,584,No,Yes,63,858.2,878,75.90,767.6,886,80.24,777.8,868,0.00,87.9,4,6.75,8,False
MS,22,591,No,No,9,769.9,12,60.8,896.7,861,1.22,690.3,863,86.06,88.6,6,6.94,7,False
OK,805,591,No,No,9,837.6,11,72.40,786.2,881,81.83,807.8,18,1.35,89.0,7,7.05,9,False
CO,845,584,No,No,9,649.1,24,40.35,783.4,05,81.5,746.0,899,88.56,89.8,0,7.26,8,True
NC,887,584,No,No,9,806.6,03,67.13,735.8,876,77.54,871.3,884,4.20,0.8,6,7.53,5,False
MD,54,584,No,No,9,21.7,872,86.70,746.5,891,78.45,744.9,899,88.51,81.9,6,5.13,8,False
KS,867,584,No,No,9,16.5,889,85.81,767.7,862,80.25,853.2,885,3.3,2.3,4,7.94,8,False
MA,871,584,No,No,9,804.3,00,66.74,732.1,879,77.23,835.0,23,2.57,83.9,7,5.67,9,False
NC,864,584,No,No,9,798.1,18,65.68,774.9,885,80.86,795.5,17,0.7,89.6,3,7.21,8,False
NM,43,591,No,No,9,802.9,889,66.50,777.1,897,81.05,774.6,08,89.85,89.3,3,7.13,7,False
CA,848,584,Yes,No,9,781.9,42,62.93,885.5,11,0.27,730.7,04,87.88,87.5,8,6.64,9,True
NY,67,584,No,No,9,835.1,01,71.97,770.0,03,80.45,832.6,891,2.46,85.1,7,5.9,7,False
AZ,09,584,No,No,9,820.7,22,69.53,789.2,00,82.08,723.0,41,87.53,0.7,3,7.51,7,False
SD,12,584,No,Yes,78,785.9,886,63.61,819.9,885,84.6,865.4,17,3.94,89.3,4,7.13,9,False
DC,861,584,No,No,9,829.4,12,71.00,881.7,883,89.94,812.0,888,1.53,88.7,2,6.97,7,False
ND,20,591,No,No,9,794.2,876,65.02,785.4,891,81.76,773.8,893,89.82,3.2,81,8.18,8,False
MO,04,584,Yes,No,9,834.4,15,71.85,713.7,887,75.66,801.0,10,1.04,88.4,7,6.88,8,True
KS,872,584,No,No,9,778.9,899,62.42,839.2,886,86.33,766.8,03,89.50,3.1,5,8.15,7,False
SD,862,489,No,No,9,757.8,881,58.83,808.9,06,83.75,781.3,49,0.15,85.2,7,6.02,6,False
OK,02,584,No,No,9,848.3,892,74.22,844.5,03,86.78,759.9,887,89.1,85.2,5,6.02,8,False
OR,850,584,Yes,No,9,823.7,12,70.04,854.9,18,87.66,750.4,07,88.76,4.2,5,8.45,9,False
IN,882,584,Yes,Yes,77,803.9,17,66.67,677.2,17,72.56,774.3,879,89.84,6.2,4,8.9,8,False
OH,15,591,No,No,9,840.4,874,72.87,752.8,09,78.9,812.0,17,1.53,2.7,5,8.05,7,False
KS,862,584,No,No,9,769.7,886,60.86,779.5,20,81.26,795.2,888,0.78,89.2,2,7.10,5,False
CT,00,584,No,No,9,853.2,35,75.05,725.9,00,76.70,678.6,01,85.53,1.0,8,7.5,6,False
NH,45,489,No,No,9,789.4,897,64.20,795.4,16,82.61,872.1,46,4.24,1.4,4,7.6,8,False
WI,14,584,No,No,9,897.9,04,82.65,729.7,860,77.02,851.7,894,3.32,89.2,6,7.10,8,False
MS,849,489,No,No,9,873.9,00,78.57,761.4,26,79.72,714.8,899,87.16,89.7,3,7.24,6,False
WV,56,584,No,No,9,831.5,874,71.36,756.1,10,79.27,785.2,897,0.33,88.8,7,6.9,8,False
MA,64,584,No,No,9,894.3,870,82.04,741.7,870,78.04,786.8,22,0.40,1.2,6,7.64,9,False
MD,01,584,No,No,9,793.4,07,64.88,823.7,847,85.01,767.1,884,89.51,87.5,4,6.64,4,False
PA,887,489,No,No,9,782.8,23,63.08,794.7,899,82.55,814.2,08,1.63,0.5,6,7.45,7,False
WI,83,489,No,No,9,770.3,21,60.96,794.2,891,82.51,833.7,08,2.51,89.1,7,7.07,9,True
TN,01,584,No,Yes,77,721.6,10,52.68,06.5,856,2.05,892.3,57,5.15,0.2,4,7.37,9,False
TX,15,591,No,No,9,861.3,897,76.43,800.9,06,83.07,795.8,862,0.81,2.1,5,7.88,9,False
OR,05,584,No,No,9,765.5,896,60.14,720.6,890,76.25,765.7,878,89.45,7.9,7,9.45,8,True
IL,15,489,No,No,9,818.4,870,69.13,869.2,887,88.88,813.4,881,1.60,1.4,5,7.6,8,False
DC,33,584,No,No,9,832.6,08,71.55,769.9,31,80.44,808.2,881,1.36,89.3,4,7.13,8,True
GA,01,584,No,Yes,68,878.9,894,79.42,781.0,01,81.38,773.2,889,89.7,87.9,8,6.75,8,False
ID,25,584,No,No,9,778.8,875,62.40,889.1,05,0.57,759.8,887,89.1,89.3,6,7.13,9,False
UT,03,591,No,Yes,73,854.1,891,75.20,807.7,10,83.65,834.8,03,2.56,0.0,7,7.32,8,False
KY,880,489,No,No,9,777.1,877,62.11,836.7,892,86.12,839.3,887,2.76,88.7,3,6.97,8,False
OH,26,584,No,No,9,816.5,19,68.81,757.9,884,79.42,798.5,899,0.93,2.4,6,7.96,5,False
WI,07,584,Yes,No,9,735.6,08,55.06,839.0,884,86.31,801.3,26,1.05,0.6,4,7.48,9,False
IL,78,584,No,No,9,853.9,21,75.17,890.2,20,0.67,752.5,891,88.86,3.1,2,8.15,9,False
DE,877,489,No,No,9,842.8,865,73.28,815.0,877,84.27,802.7,40,1.12,1.4,4,7.6,5,True
RI,866,489,Yes,No,9,872.6,891,78.35,748.6,18,78.63,864.9,11,3.91,89.6,6,7.21,8,False
TX,854,584,No,No,9,812.0,889,68.05,802.9,882,83.24,832.9,891,2.47,5.1,5,8.6,7,False
OR,74,591,No,No,9,821.1,09,69.5,858.7,27,87.9,796.9,00,0.85,1.5,4,7.72,7,False
NV,35,584,No,No,9,02.7,19,83.47,813.7,09,84.16,810.9,07,1.4,89.5,3,7.18,7,False
NE,14,584,No,No,9,740.1,14,55.82,757.6,882,79.3,831.1,27,2.3,4.5,8,8.53,9,False
MS,873,584,No,No,9,743.4,887,56.38,800.4,09,83.03,811.6,877,1.52,2.9,4,8.10,6,False
OR,23,584,No,No,9,830.4,22,71.17,875.9,12,89.45,780.5,07,0.12,89.9,6,7.2,9,False
DE,886,584,No,No,9,760.2,52,59.24,717.0,889,75.94,761.5,11,89.26,1.2,6,7.64,7,True
DE,775,489,Yes,No,9,828.4,00,70.83,839.9,896,86.3,787.5,897,0.43,4.9,7,8.64,8,True
AZ,882,591,No,No,9,760.0,15,59.21,825.1,893,85.13,790.4,06,0.56,0.1,7,7.34,9,False
SD,871,591,No,Yes,65,857.6,26,75.80,805.1,20,83.43,760.6,18,89.22,83.9,3,5.67,8,False
NV,884,584,No,No,9,815.8,01,68.6,672.9,26,72.1,787.4,893,0.43,2.4,3,7.96,7,False
NM,858,584,No,Yes,71,793.0,873,64.82,735.5,873,77.52,828.1,875,2.26,0.6,88,7.48,7,False
MN,48,489,No,No,9,740.0,885,55.81,823.7,05,85.01,22.7,887,6.52,84.6,8,5.86,8,False
NJ,899,584,No,No,9,796.1,877,65.34,716.8,23,75.93,802.6,16,1.11,87.4,6,6.61,9,False
IN,03,584,No,Yes,54,751.1,875,57.6,859.6,22,88.06,736.3,897,88.13,89.6,7,7.21,6,False
DC,887,584,No,Yes,83,778.3,889,62.32,869.7,876,88.92,799.9,891,0.9,88.6,6,6.94,8,False
MA,870,489,Yes,No,9,807.0,868,67.20,814.4,898,84.22,794.7,869,0.76,89.0,5,7.05,8,False
ME,836,584,No,No,9,877.5,870,79.18,886.5,891,0.35,819.7,02,1.88,87.4,2,6.61,8,False
NH,32,584,No,Yes,59,895.0,34,82.16,783.6,06,81.60,782.5,871,0.21,0.3,0,7.40,8,False
AZ,859,591,No,No,9,826.7,08,70.55,803.1,893,83.26,790.6,871,0.57,88.7,4,6.97,6,False
OR,50,489,No,No,9,880.5,30,79.6,726.6,07,76.76,785.5,846,0.34,87.5,2,6.64,7,False
KS,53,489,No,No,9,749.6,899,57.44,739.3,09,77.84,804.9,895,1.21,86.6,7,6.40,7,True
NE,851,584,No,No,9,821.6,01,69.68,717.3,889,75.97,818.9,01,1.84,88.5,5,6.91,8,False
MI,887,489,No,No,9,756.5,22,58.61,817.8,02,84.51,740.7,05,88.33,87.1,7,6.53,8,False
SC,21,584,No,No,9,844.9,893,73.64,824.6,898,85.0,844.3,874,2.9,88.1,4,6.80,7,False
PA,38,591,No,Yes,68,711.2,898,50.91,796.1,897,82.67,796.7,50,0.85,1.3,6,7.67,9,False
MT,41,489,No,Yes,70,759.5,19,59.12,881.0,08,89.88,835.7,891,2.60,88.7,6,6.97,8,False
NM,844,584,No,No,9,809.6,876,67.64,698.6,03,74.38,785.3,865,0.33,1.9,6,7.83,8,False
OH,899,489,No,No,9,721.9,23,52.73,823.2,25,84.97,780.4,873,0.11,1.6,5,7.75,9,True
WY,886,489,No,No,9,844.9,06,73.64,669.3,893,71.8,810.5,876,1.47,86.4,6,6.34,8,False
MI,18,584,No,No,9,846.4,00,73.8,802.3,897,83.1,801.4,13,1.06,3.6,7,8.2,7,False
AR,864,489,No,Yes,72,726.5,858,53.51,845.9,00,86.90,754.1,887,88.93,87.6,3,6.67,8,False
FL,00,591,No,No,9,844.6,06,73.5,734.2,04,77.41,854.2,32,3.43,87.5,5,6.64,9,False
AR,40,489,No,Yes,70,866.8,885,77.36,778.7,17,81.1,868.3,896,4.07,3.1,6,8.15,8,False
MO,864,489,No,No,9,753.1,870,58.03,812.1,878,84.03,845.4,890,3.04,87.3,4,6.5,8,False
WI,14,591,Yes,No,9,834.5,892,71.87,803.9,873,83.33,650.7,889,84.28,0.3,2,7.40,7,False
TX,29,489,No,No,9,40.4,896,89.87,742.7,893,78.13,791.6,13,0.62,88.8,3,6.9,9,False
TX,11,489,No,No,9,861.6,883,76.48,763.9,861,79.93,820.8,889,1.93,0.3,5,7.40,6,False
NM,44,489,No,No,9,713.2,899,51.25,865.5,878,88.57,807.0,877,1.31,3.0,4,8.13,7,False
GA,24,584,No,No,9,882.6,885,80.05,798.8,38,82.90,892.0,17,5.13,87.7,6,6.70,8,False
ID,20,489,No,Yes,78,735.6,20,55.06,797.1,881,82.75,826.5,07,2.1,3.6,6,8.2,5,False
AL,14,591,No,No,9,872.0,892,78.25,728.7,875,76.94,797.7,23,0.8,87.4,4,6.61,9,False
KS,13,591,No,Yes,76,774.4,892,61.65,753.6,894,79.05,754.2,18,88.93,0.1,7,7.34,9,False
SD,08,489,No,No,9,850.9,884,74.66,754.6,894,79.14,739.9,05,88.2,1.6,6,7.75,9,False
LA,850,584,No,Yes,79,801.0,22,66.18,725.9,11,76.70,809.2,23,1.41,85.6,0,6.13,8,False
OH,02,591,No,No,9,743.5,874,56.40,726.0,899,76.71,777.2,898,89.97,88.8,8,6.9,8,True
MA,11,584,No,No,9,735.1,875,54.97,754.5,887,79.13,839.4,884,2.77,85.1,7,5.9,8,True
AZ,39,584,No,No,9,01.7,11,83.30,819.4,30,84.65,776.3,30,89.93,0.6,7,7.48,7,False
KY,45,591,No,No,9,840.1,00,72.82,735.9,35,77.55,884.2,29,4.78,0.2,2,7.37,7,False
DC,88,584,No,Yes,71,809.3,13,67.5,779.8,877,81.28,819.6,19,1.88,3.9,6,8.37,6,False
WA,890,584,No,No,9,815.9,879,68.71,879.5,880,89.76,846.2,13,3.07,88.9,6,7.02,9,False
UT,09,584,No,No,9,738.1,871,55.48,779.3,895,81.24,863.3,08,3.84,0.3,4,7.40,8,False
RI,884,591,No,No,9,852.0,890,74.85,771.5,882,80.58,700.2,09,86.50,0.3,0,7.40,6,False
OH,855,584,No,Yes,81,893.5,890,81.90,891.8,886,0.80,791.5,888,0.61,89.8,4,7.26,8,False
NV,08,591,No,No,9,866.2,24,77.26,804.6,12,83.3,719.4,10,87.37,4.0,7,8.40,9,False
ND,894,584,No,Yes,76,806.4,14,67.0,779.7,09,81.27,727.5,888,87.73,1.4,4,7.6,9,False
NV,28,584,Yes,No,9,821.7,886,69.70,832.1,05,85.73,817.8,888,1.80,86.3,6,6.32,6,True
FL,867,489,No,Yes,63,773.7,896,61.54,818.3,874,84.55,741.1,897,88.34,89.4,4,7.15,6,True
MD,887,584,No,No,9,829.5,896,71.02,799.7,28,82.97,741.6,899,88.37,88.3,5,6.86,8,False
AZ,13,584,No,Yes,67,29.0,836,87.94,833.2,878,85.82,755.0,894,88.97,88.8,4,6.9,6,False
AL,58,489,No,Yes,65,805.5,36,66.94,745.0,889,78.32,839.7,884,2.78,82.7,0,5.35,7,False
NE,55,584,No,No,9,759.6,853,59.14,835.3,16,86.00,759.2,893,89.16,89.3,7,7.13,8,False
NV,21,591,No,No,9,24.9,883,87.24,751.2,12,78.85,823.9,16,2.07,0.4,3,7.42,6,False
IL,850,591,No,No,9,30.8,882,88.24,863.6,899,88.40,818.2,46,1.81,3.6,6,8.2,8,False
WV,27,489,No,Yes,66,03.3,40,83.57,684.5,01,73.18,836.6,882,2.64,3.7,5,8.32,5,True
MI,860,584,No,Yes,79,785.3,898,63.51,764.8,867,80.01,837.1,867,2.66,85.1,87,5.9,9,False
AR,25,489,No,No,9,851.4,888,74.74,853.4,57,87.54,710.7,16,86.98,0.0,3,7.32,6,False
